Data,Currency,average_event_move
CPI,Australian Dollar,0.00308
GDP,Australian Dollar,0.00404
Interest Rate,Australian Dollar,0.00501
Unemployment Rate,Australian Dollar,0.0036
Automatic Data Processing Non Farm Payroll,United States Dollar,0.00445
CPI ,United States Dollar,0.00728
Retail Sales,United States Dollar,0.00433
GDP ,United States Dollar,0.00382
Interest Rate,United States Dollar,0.00738
ISM Manufacturing,United States Dollar,0.00446
JOLTS Jobs Opening,United States Dollar,0.0028
Non-Farm-Payroll,United States Dollar,0.00339
Unemployment Rate,United States Dollar,0.00339
PCE Price Index,United States Dollar,0.00523
Produce Price Index,United States Dollar,0.00339
Consumer Sentiment,United States Dollar,0.00648
