sentences,sentiment
The US Dollar is treading water so far today after massive gains across the board thanks to Fed commentary for higher rates raising the prospect of a hawkish Fed Chair later today.,neu
"Futures and swaps markets are now pricing a 2023 peak in US rates above 5.10%, up from below 4.90% last week.",pos
The comments lifted Treasury yields across the curve with the short end seeing the largest bump.,neu
The RBA hiked rates by 25 basis points today in a somewhat pastiche approach to monetary policy after the Fed’s re-acceleration toward hawkishness.,neg
Crude oil is slightly firmer with the WTI futures contract near US$ 74.75 bbl and the Brent contract is a touch above US$ 81.50 bbl. ,neu
"The very strong labour market, and Bostic’s comments yesterday might have laid the groundwork for stronger hawkish rhetoric from the chief rate setter.",neu
AUDUSD has been “in the black” for the second week in a row despite natural disasters.,neu
The Australian Dollar is actively strengthening against the USD.,neu
"However, the AUD rate barely responded to a national emergency over flooding in two states, New South Wales and Queensland.",neu
Federal and state governments have already faced anger from the population for not acting faster to help residents.,neu
AUDUSD continues falling; the “greenback” remains strong.,neu
The American currency remains strong after “hawkish” comments from the US Fed and that puts a lot of pressure on AUD.,neu
"For example, the preliminary Manufacturing PMI reading showed 55.3 points in January after being 57.7 points the month before.",pos
The Services PMI dropped to 45.0 points after showing 55.1 points in December.,neg
The statistics published by Australia weren’t impressive and couldn’t support the Aussie. ,neu
The Australian Dollar is falling against the USD on Tuesday.,neu
The Australian CPI showed 1.3% q/q in the fourth quarter after being 0.8% q/q the quarter.,neg
"US CPI On YoY, the indicator skyrocketed by 3.5% after adding 3.0% in the previous quarter and against the expected reading of 3.2%.",neg
Headline US CPI was 7.1% year-on-year to the end of November rather than the 7.3% forecast.,pos
"The components show a sharp drop in employment, down to 2 points, while the sales remained unchanged at 14 points.",pos
The regulator won’t raise the rate until inflation reaches the range of 2-3% and fixes inside it.,neu
The Reserve Bank of Australia had another meeting today and decided to keep its monetary policy intact.,neg
The Australian Dollar is rising against the USD for the second trading session in a row.,neu
Such external pressure may force the Australian regulator to raise the rate much earlier than mid-2023.,neu
"Today, the Australian dollar received support from a major macroeconomic report.",neu
"Nevertheless, inflation indicators have demonstrated a decent result, reflecting the ""stress resistance"" of the national economy.",neu
The reality is that high and unstable inflation creates uncertainty and increases the cost of capital to a more expensive level than it would otherwise be with low and stable inflation. ,neu
Retail trader data shows 50.51% of traders are net-long with the ratio of traders long to short at 1.02 to 1.,neu
Tomorrow will provide further insights to the RBA rate decision through their policy minutes and I suspect they will be rather hawkish in nature.,neu
"That being said, the key data point for today will be back on the U.S. via jobless claims (see economic calendar below) where markets will be looking for some congruency with the prior Non-Farm Payroll (NFP) report.",neu
"US Inflation rose from 7.3% to a 33-year high of 7.8% last quarter, more than double its 2-3% target range.",neg
"Nonetheless, the Aussie is still being supported by the prospect of higher domestic interest rates.",neu
It is expected to show that jobless claims rose to 191K from 183K.,neg
The Fed raised the target range for fed funds by 25 basis points last week to 4.50-4.75%.,neu
Today’s statistics showed that the Australian GDP in the fourth quarter of 2021 added 3.4% q/q after losing 1.9% q/q the quarter before and against the expected reading of 3.0% q/q.,pos
The Westpac Consumer Sentiment was -1.3% in February after showing -2.0% in January.,pos
"Comparatively, the RBA seems to be diverging from the Federal Reserve outlook and could continue to weigh on the Aussie dollar as the carry trade appeal for the USD increases.",neu
"In addition, sustained political tensions in between Russia/Ukraine and US-China are feeding the safe-haven component of the greenback.",neu
"From a Chinese perspective (largest importer of Australian commodities), inflation figures this morning dropped possibly indicative of stagnating growth and does not bode well for export forecasts if this is the case",neu
"Later today, US jobless claims data will be in focus alongside the Fed’s Barr. ",neu
"Should jobless claims come in lower than projections suggest, this could add to recent USD strength; however, today’s trading should be rather subdued as markets keenly await tomorrow’s Non-Farm Payroll (NFP) data.",neu
"AUD/USD plunged after the Reserve Bank of Australia hiked the benchmark cash rate by 25 basis points in an attempt to control inflation running at three-decade highs and left the door open for further rate hikes, raising concerns that the central bank could overtighten.",neu
The Reserve Bank of Australia raised the cash rate by a quarter percentage point to 3.60% and said further tightening of monetary policy will be needed. ,pos
"The move was widely expected after inflation rose to a three-decade high last quarter, well above the central bank’s target range of 2%-3%. ",neu
"Last month, the US central bank abandoned its previous plan to pause at 3.35% and signaled more hikes would be needed.",pos
The RBA is not an exception in warning of further tightening. ,neu
"Central bankers, including the US Fed and the European Central Bank, have said more work needs to be done to tackle inflation.",neu
"Meanwhile, China on Sunday set a growth target of around 5%, below last year’s target of around 5.5% at the annual session of its National People’s Congress.",neg
"As expected, the RBA’s November policy meeting yielded a 15-bps rate cut bringing the main rate to 0.10%, but the more noteworthy development (at least one that wasn’t discounted by markets yet) was the shift in focus for policymakers.",neg
"US rate futures are pricing in the Fed’s target rate to peak around 5.48% in September from the current 4.50-4.75%, compared with under 5% at the end of January.",pos
